book_title,book_author,book_runtime
1. The Women,By: Kristin Hannah,Length: 14 hrs and 57 mins
2. Funny Story,By: Emily Henry,Length: 11 hrs and 23 mins
3. You Like It Darker,By: Stephen King,Length: 20 hrs and 12 mins
4. The Mountain Is You,By: Brianna Wiest,Length: 5 hrs and 44 mins
5. The 9th Man,"By: Steve Berry, Grant Blackwood",Length: 11 hrs and 53 mins
6. First Lie Wins,By: Ashley Elston,Length: 9 hrs and 16 mins
7. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
8. Solitude,By: Dean M. Cole,Length: 8 hrs and 50 mins
9. The Anxious Generation,By: Jonathan Haidt,Length: 10 hrs and 32 mins
10. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
11. Fourth Wing,By: Rebecca Yarros,Length: 21 hrs and 22 mins
12. What This Comedian Said Will Shock You,By: Bill Maher,Length: 12 hrs and 50 mins
13. Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
14. Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
15. Mind Games,By: Nora Roberts,Length: 14 hrs and 52 mins
16. The Demon of Unrest,By: Erik Larson,Length: 17 hrs and 18 mins
17. The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins
18. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
19. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
20. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 55 mins
21. Unfu*k Yourself,By: Gary John Bishop,Length: 3 hrs and 24 mins
22. The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins
23. Queen of Shadows,By: Sarah J. Maas,Length: 20 hrs and 43 mins
24. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
25. The Heaven & Earth Grocery Store,By: James McBride,Length: 12 hrs and 21 mins
26. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
27. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
28. The Paradise Problem,By: Christina Lauren,Length: 11 hrs and 36 mins
29. Empire of Storms,By: Sarah J. Maas,Length: 25 hrs and 18 mins
30. Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
31. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
32. House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
33. One Perfect Couple,By: Ruth Ware,Length: 14 hrs and 9 mins
34. Listen for the Lie,By: Amy Tintera,Length: 9 hrs and 18 mins
35. A Calamity of Souls,By: David Baldacci,Length: 14 hrs and 28 mins
36. Kingdom of Ash,By: Sarah J. Maas,Length: 33 hrs and 11 mins
37. It Starts with Us,By: Colleen Hoover,Length: 8 hrs and 41 mins
38. How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
39. Tower of Dawn,By: Sarah J. Maas,Length: 22 hrs and 39 mins
40. The Covenant of Water,By: Abraham Verghese,Length: 31 hrs and 16 mins
41. Dune Messiah,By: Frank Herbert,Length: 8 hrs and 57 mins
42. Supercommunicators,By: Charles Duhigg,Length: 7 hrs and 28 mins
43. Haunting Adeline,By: H. D. Carlton,Length: 15 hrs and 48 mins
44. Day Trading Attention,By: Gary Vaynerchuk,Length: 8 hrs and 24 mins
45. Bits and Pieces,By: Whoopi Goldberg,Length: 6 hrs and 43 mins
46. Home Is Where the Bodies Are,By: Jeneva Rose,Length: 8 hrs and 27 mins
47. Good Energy,"By: Casey Means MD, Calley Means",Length: 11 hrs and 53 mins
48. House of Sky and Breath,By: Sarah J. Maas,Length: 27 hrs and 42 mins
49. The Four Agreements,By: don Miguel Ruiz,Length: 2 hrs and 31 mins
50. House of Flame and Shadow,By: Sarah J. Maas,Length: 29 hrs and 42 mins
51. The Situation Room,"By: George Stephanopoulos, Lisa Dickey - contributor",Length: 10 hrs and 7 mins
52. Think Twice,By: Harlan Coben,Length: 9 hrs and 41 mins
53. The Frozen River,By: Ariel Lawhon,Length: 15 hrs and 5 mins
54. A Stolen Life,By: Jaycee Dugard,Length: 7 hrs and 30 mins
55. Tom Lake,By: Ann Patchett,Length: 11 hrs and 22 mins
56. Tress of the Emerald Sea,By: Brandon Sanderson,Length: 12 hrs and 27 mins
57. A Court of Silver Flames (Part 1 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 10 hrs
58. The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
59. A Court of Silver Flames (2 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 10 hrs and 33 mins
60. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
61. The End of Everything,By: Victor Davis Hanson,Length: 10 hrs and 19 mins
62. Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
63. None of This Is True,By: Lisa Jewell,Length: 10 hrs and 20 mins
64. Don't Believe Everything You Think,By: Joseph Nguyen,Length: 2 hrs and 16 mins
65. The Algebra of Wealth,By: Scott Galloway,Length: 8 hrs and 29 mins
66. How to Know a Person,By: David Brooks,Length: 7 hrs and 27 mins
67. Recon,By: Craig Alanson,Length: 16 hrs and 26 mins
68. The Teacher,By: Freida McFadden,Length: 9 hrs and 35 mins
69. A Court of Wings and Ruin (Part 3 of 3) (Dramatized Adaptation),By: Sarah J. Maas,Length: 6 hrs
70. Butcher & Blackbird,By: Brynne Weaver,Length: 8 hrs and 43 mins
71. Iron Flame (Part 1 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 11 hrs and 38 mins
72. The Three-Body Problem,By: Cixin Liu,Length: 13 hrs and 26 mins
73. Never Split the Difference,By: Chris Voss,Length: 8 hrs and 7 mins
74. She's Not Sorry,By: Mary Kubica,Length: 10 hrs and 32 mins
75. The Path of Ascension 6,By: C. Mantis,Length: 23 hrs and 25 mins
76. 12 Rules for Life,"By: Jordan B. Peterson, Norman Doidge MD",Length: 15 hrs and 40 mins
77. James,By: Percival Everett,Length: 7 hrs and 49 mins
78. Winter Garden,By: Kristin Hannah,Length: 14 hrs and 38 mins
79. The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
